statistics,Mean,Median,Range,Std,,statistics,Mean,Median,Range,Std
feature_235,0.390803572,0.35274,0.817507,0.231215258,,feature_235,0.39,0.35,0.82,0.23
feature_236,0.377352969,0.3418,0.813013,0.22566782,,feature_236,0.38,0.34,0.81,0.23
feature_237,0.364792171,0.32861,0.799885,0.220553813,,feature_237,0.36,0.33,0.8,0.22
feature_238,0.352473506,0.317,0.794257,0.215335152,,feature_238,0.35,0.32,0.79,0.22
feature_239,0.340591424,0.30567,0.786856,0.210068029,,feature_239,0.34,0.31,0.79,0.21
feature_240,0.329154673,0.29435,0.777111,0.205414584,,feature_240,0.33,0.29,0.78,0.21
feature_241,0.31801247,0.28435,0.748918,0.200477952,,feature_241,0.32,0.28,0.75,0.2
feature_242,0.307292564,0.27346,0.738767,0.195733357,,feature_242,0.31,0.27,0.74,0.2
feature_243,0.296488477,0.26348,0.721968,0.190679157,,feature_243,0.3,0.26,0.72,0.19
feature_244,0.286966008,0.25509,0.729157,0.186973658,,feature_244,0.29,0.26,0.73,0.19
feature_245,0.277171467,0.24376,0.7305678,0.182373852,,feature_245,0.28,0.24,0.73,0.18
feature_246,0.268015185,0.23631,0.7256716,0.178199121,,feature_246,0.27,0.24,0.73,0.18
feature_247,0.259145031,0.226,0.7205818,0.173962062,,feature_247,0.26,0.23,0.72,0.17
feature_248,0.250484111,0.21685,0.7072089,0.169810468,,feature_248,0.25,0.22,0.71,0.17
feature_249,0.242435597,0.2086,0.6874081,0.166038179,,feature_249,0.24,0.21,0.69,0.17
feature_250,0.234351194,0.20394,0.6713065,0.16244408,,feature_250,0.23,0.2,0.67,0.16
feature_251,0.226938674,0.19457,0.65781,0.159427439,,feature_251,0.23,0.19,0.66,0.16
feature_252,0.219260342,0.18859,0.6314805,0.155422504,,feature_252,0.22,0.19,0.63,0.16
feature_253,0.212013038,0.1831,0.6149215,0.152032461,,feature_253,0.21,0.18,0.61,0.15
feature_254,0.20527428,0.17649,0.60749,0.148830153,,feature_254,0.21,0.18,0.61,0.15
feature_255,0.198942527,0.16958,0.6098948,0.145735889,,feature_255,0.2,0.17,0.61,0.15
feature_256,0.192774159,0.16253,0.5886061,0.143077223,,feature_256,0.19,0.16,0.59,0.14
feature_257,0.186798062,0.15842,0.58028,0.139985852,,feature_257,0.19,0.16,0.58,0.14
feature_258,0.180795636,0.15164,0.5701713,0.136619106,,feature_258,0.18,0.15,0.57,0.14
feature_259,0.175337771,0.14761,0.57424,0.13362108,,feature_259,0.18,0.15,0.57,0.13
feature_260,0.16929881,0.14178,0.5630706,0.129954489,,feature_260,0.17,0.14,0.56,0.13
feature_261,0.164094032,0.13597,0.56164,0.12776096,,feature_261,0.16,0.14,0.56,0.13
feature_262,0.159490183,0.12987,0.5474414,0.125818987,,feature_262,0.16,0.13,0.55,0.13
feature_263,0.154565048,0.12556,0.52781,0.12299138,,feature_263,0.15,0.13,0.53,0.12
feature_264,0.150035553,0.12203,0.51058389,0.120437539,,feature_264,0.15,0.12,0.51,0.12
feature_265,0.145511438,0.11692,0.49145,0.117832024,,feature_265,0.15,0.12,0.49,0.12
feature_266,0.140884514,0.1104,0.47567,0.115218818,,feature_266,0.14,0.11,0.48,0.12
feature_267,0.136898925,0.10822,0.48224,0.112985292,,feature_267,0.14,0.11,0.48,0.11
feature_268,0.132821183,0.10348,0.49077,0.11113762,,feature_268,0.13,0.1,0.49,0.11
feature_269,0.128900054,0.098981,0.4714,0.10846395,,feature_269,0.13,0.1,0.47,0.11
feature_270,0.125299233,0.09756,0.49208,0.106385574,,feature_270,0.13,0.1,0.49,0.11
feature_271,0.121461624,0.092354,0.48293,0.10397664,,feature_271,0.12,0.09,0.48,0.1
feature_272,0.117989489,0.089676,0.48381,0.102071329,,feature_272,0.12,0.09,0.48,0.1
feature_273,0.114272921,0.087831,0.46083,0.099587533,,feature_273,0.11,0.09,0.46,0.1
feature_274,0.11090103,0.083438,0.4512,0.097221187,,feature_274,0.11,0.08,0.45,0.1
feature_275,0.107612747,0.080791,0.44878,0.094926986,,feature_275,0.11,0.08,0.45,0.09
feature_276,0.104404249,0.077426,0.45077,0.092952618,,feature_276,0.1,0.08,0.45,0.09
feature_277,0.101249021,0.075187,0.43648,0.090649684,,feature_277,0.1,0.08,0.44,0.09
feature_278,0.097996638,0.071901,0.43671,0.088646898,,feature_278,0.1,0.07,0.44,0.09
feature_279,0.095049712,0.067132,0.4307,0.08658862,,feature_279,0.1,0.07,0.43,0.09
feature_280,0.092007375,0.065836,0.41221,0.084151148,,feature_280,0.09,0.07,0.41,0.08
feature_281,0.089478654,0.063971,0.39721,0.082460153,,feature_281,0.09,0.06,0.4,0.08
feature_282,0.086473607,0.061386,0.38766,0.08013701,,feature_282,0.09,0.06,0.39,0.08
feature_283,0.083646576,0.057533,0.37663,0.078130406,,feature_283,0.08,0.06,0.38,0.08
